"GEO","TIME","SEX","ISCED11","AGE","UNIT","Value"
"PL","2017","T","ED0-2","Y15-74","PC_ACT","12.2"
"PT","2017","T","ED0-2","Y15-74","PC_ACT","9.8"
"RO","2017","T","ED0-2","Y15-74","PC_ACT","6.8"
"SI","2017","T","ED0-2","Y15-74","PC_ACT","11.1"
"SK","2017","T","ED0-2","Y15-74","PC_ACT","29.8"
"FI","2017","T","ED0-2","Y15-74","PC_ACT","17.9"
"SE","2017","T","ED0-2","Y15-74","PC_ACT","18.5"
"UK","2017","T","ED0-2","Y15-74","PC_ACT","7.3"
"IS","2017","T","ED0-2","Y15-74","PC_ACT","4.7"
"NO","2017","T","ED0-2","Y15-74","PC_ACT","9.4"
"CH","2017","T","ED0-2","Y15-74","PC_ACT","8.3"
"ME","2017","T","ED0-2","Y15-74","PC_ACT","22.2"
"MK","2017","T","ED0-2","Y15-74","PC_ACT","26.5"
"RS","2017","T","ED0-2","Y15-74","PC_ACT","11.6"
"TR","2017","T","ED0-2","Y15-74","PC_ACT","9.6"
"EU28","2018","T","ED0-2","Y15-74","PC_ACT","13.2"
"EU15","2018","T","ED0-2","Y15-74","PC_ACT","13.6"
"EA19","2018","T","ED0-2","Y15-74","PC_ACT","14.8"
"EA18","2018","T","ED0-2","Y15-74","PC_ACT","14.8"
"EA17","2018","T","ED0-2","Y15-74","PC_ACT","14.8"
"BE","2018","T","ED0-2","Y15-74","PC_ACT","13.2"
"BG","2018","T","ED0-2","Y15-74","PC_ACT","15.5"
"CZ","2018","T","ED0-2","Y15-74","PC_ACT","10.7"
"DK","2018","T","ED0-2","Y15-74","PC_ACT","8.0"
"DE","2018","T","ED0-2","Y15-74","PC_ACT","8.8"
"EE","2018","T","ED0-2","Y15-74","PC_ACT","10.3"
"IE","2018","T","ED0-2","Y15-74","PC_ACT","9.9"
"EL","2018","T","ED0-2","Y15-74","PC_ACT","22.3"
"ES","2018","T","ED0-2","Y15-74","PC_ACT","22.1"
"FR","2018","T","ED0-2","Y15-74","PC_ACT","16.2"
"FX","2018","T","ED0-2","Y15-74","PC_ACT","15.5"
"HR","2018","T","ED0-2","Y15-74","PC_ACT","11.6"
"IT","2018","T","ED0-2","Y15-74","PC_ACT","14.6"
"CY","2018","T","ED0-2","Y15-74","PC_ACT","9.8"
"LV","2018","T","ED0-2","Y15-74","PC_ACT","16.5"
"LT","2018","T","ED0-2","Y15-74","PC_ACT","17.9"
"LU","2018","T","ED0-2","Y15-74","PC_ACT","8.4"
"HU","2018","T","ED0-2","Y15-74","PC_ACT","10.3"
"MT","2018","T","ED0-2","Y15-74","PC_ACT","5.6"
"NL","2018","T","ED0-2","Y15-74","PC_ACT","6.6"
